Constellation,From,To
Aries,1937-04-19,1937-05-13
Taurus,1937-05-14,1937-06-21
Gemini,1937-06-22,1937-07-20
Cancer,1937-07-21,1937-08-10
Leo,1937-08-11,1937-09-16
Virgo,1937-09-17,1937-10-30
Libra,1937-10-31,1937-11-22
Scorpius,1937-11-23,1937-11-29
Ophiucus,1937-11-30,1937-12-17
Sagittarius,1937-12-18,1937-01-19
Capricornus,1937-01-20,1937-02-15
Aquarius,1938-02-16,1938-03-12
Pisces,1938-03-13,1938-04-18
Aries,1938-04-19,1938-05-14
Taurus,1938-05-15,1938-06-21
Gemini,1938-06-22,1938-07-20
Cancer,1938-07-21,1938-08-10
Leo,1938-08-11,1938-09-16
Virgo,1938-09-17,1938-10-31
Libra,1938-11-01,1938-11-23
Scorpius,1938-11-24,1938-11-29
Ophiucus,1938-11-30,1938-12-17
Sagittarius,1938-12-18,1938-01-19
Capricornus,1938-01-20,1938-02-15
Aquarius,1939-02-17,1939-03-12
Pisces,1939-03-13,1939-04-18
Aries,1939-04-19,1939-05-14
Taurus,1939-05-15,1939-06-21
Gemini,1939-06-22,1939-07-20
Cancer,1939-07-21,1939-08-10
Leo,1939-08-11,1939-09-16
Virgo,1939-09-17,1939-10-31
Libra,1939-11-01,1939-11-23
Scorpius,1939-11-24,1939-11-29
Ophiucus,1939-11-30,1939-12-18
Sagittarius,1939-12-19,1939-01-19
Capricornus,1939-01-20,1939-02-16
Aquarius,1940-02-17,1940-03-11
Pisces,1940-03-12,1940-04-18
Aries,1940-04-19,1940-05-13
Taurus,1940-05-14,1940-06-20
Gemini,1940-06-21,1940-07-20
Cancer,1940-07-21,1940-08-10
Leo,1940-08-11,1940-09-16
Virgo,1940-09-17,1940-10-30
Libra,1940-10-31,1940-11-22
Scorpius,1940-11-23,1940-11-29
Ophiucus,1940-11-30,1940-12-17
Sagittarius,1940-12-18,1940-01-20
Capricornus,1940-01-21,1940-02-16
Aquarius,1941-02-16,1941-03-11
Pisces,1941-03-12,1941-04-18
Aries,1941-04-19,1941-05-13
Taurus,1941-05-14,1941-06-21
Gemini,1941-06-22,1941-07-20
Cancer,1941-07-21,1941-08-10
Leo,1941-08-11,1941-09-16
Virgo,1941-09-17,1941-10-30
Libra,1941-10-31,1941-11-22
Scorpius,1941-11-23,1941-11-29
Ophiucus,1941-11-30,1941-12-17
Sagittarius,1941-12-18,1941-01-19
Capricornus,1941-01-20,1941-02-15
Aquarius,1942-02-16,1942-03-12
Pisces,1942-03-13,1942-04-18
Aries,1942-04-19,1942-05-14
Taurus,1942-05-15,1942-06-21
Gemini,1942-06-22,1942-07-20
Cancer,1942-07-21,1942-08-10
Leo,1942-08-11,1942-09-16
Virgo,1942-09-17,1942-10-31
Libra,1942-11-01,1942-11-23
Scorpius,1942-11-24,1942-11-29
Ophiucus,1942-11-30,1942-12-18
Sagittarius,1942-12-19,1942-01-19
Capricornus,1942-01-20,1942-02-15
Aquarius,1943-02-17,1943-03-12
Pisces,1943-03-13,1943-04-18
Aries,1943-04-19,1943-05-14
Taurus,1943-05-15,1943-06-21
Gemini,1943-06-22,1943-07-20
Cancer,1943-07-21,1943-08-10
Leo,1943-08-11,1943-09-16
Virgo,1943-09-17,1943-10-31
Libra,1943-11-01,1943-11-23
Scorpius,1943-11-24,1943-11-29
Ophiucus,1943-11-30,1943-12-18
Sagittarius,1943-12-19,1943-01-19
Capricornus,1943-01-20,1943-02-16
Aquarius,1944-02-17,1944-03-11
Pisces,1944-03-12,1944-04-18
Aries,1944-04-19,1944-05-13
Taurus,1944-05-14,1944-06-20
Gemini,1944-06-21,1944-07-20
Cancer,1944-07-21,1944-08-10
Leo,1944-08-11,1944-09-16
Virgo,1944-09-17,1944-10-30
Libra,1944-10-31,1944-11-22
Scorpius,1944-11-23,1944-11-29
Ophiucus,1944-11-30,1944-12-17
Sagittarius,1944-12-18,1944-01-20
Capricornus,1944-01-21,1944-02-16
Aquarius,1945-02-16,1945-03-11
Pisces,1945-03-12,1945-04-18
Aries,1945-04-19,1945-05-13
Taurus,1945-05-14,1945-06-21
Gemini,1945-06-22,1945-07-20
Cancer,1945-07-21,1945-08-10
Leo,1945-08-11,1945-09-16
Virgo,1945-09-17,1945-10-30
Libra,1945-10-31,1945-11-22
Scorpius,1945-11-23,1945-11-29
Ophiucus,1945-11-30,1945-12-17
Sagittarius,1945-12-18,1945-01-19
Capricornus,1945-01-20,1945-02-15
Aquarius,1946-02-17,1946-03-12
Pisces,1946-03-13,1946-04-18
Aries,1946-04-19,1946-05-14
Taurus,1946-05-15,1946-06-21
Gemini,1946-06-22,1946-07-20
Cancer,1946-07-21,1946-08-10
Leo,1946-08-11,1946-09-16
Virgo,1946-09-17,1946-10-31
Libra,1946-11-01,1946-11-23
Scorpius,1946-11-24,1946-11-29
Ophiucus,1946-11-30,1946-12-18
Sagittarius,1946-12-19,1946-01-19
Capricornus,1946-01-20,1946-02-16
Aquarius,1947-02-17,1947-03-12
Pisces,1947-03-13,1947-04-18
Aries,1947-04-19,1947-05-14
Taurus,1947-05-15,1947-06-21
Gemini,1947-06-22,1947-07-20
